"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs117127404",-0.0838045574265726,0.116704528597083,0.0051,-0.523563068348089,0.01,0.115427,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs12553270",0.0652189503513114,0.0588224414141987,5e-04,0.242569637139312,0.0048,0.0465059,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs1475549",-0.11019128978572,0.0609663510367132,-0.0109,-0.249663363467434,0.0055,0.0561647,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs150081707",0.0684615037345029,0.0753198176154248,-0.0094,0.26842279751297,0.0069,0.0588301,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs28573814",-0.0134818518948247,0.028739795591003,-0.015,0.116982715485614,0.0025,0.0248692,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs56256111",-0.0066072150720587,0.0400489947106218,-0.0083,0.153553358609311,0.0038,0.0344867,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs5771648",-0.072140803433224,0.0288911236225475,-1e-04,-0.110874579090541,0.0027,0.0250637,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs60365505",-0.0521649306266482,0.05910673172404,-0.0047,0.213949414474266,0.0056,0.0483258,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs73313142",-0.0174647741639405,0.057888378260755,0.0066,0.218661522010342,0.0057,0.0492748,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs76725568",-0.059468210742763,0.0535142790178643,2e-04,0.213925192504131,0.0049,0.0469983,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
"rs9784526",0.00514452859005101,0.0343807642774504,0.0032,0.124895460071316,0.0028,0.0282546,"BMI","Insomnia","T2DM",4.2809222332539,11.9536926179708
