"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs10906974",-0.0679876578581107,0.0303697538785225,-0.0018,0.03842133144693,0.0027,0.00867291105652462,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs11212405",-0.0170933711141416,0.0279532622710409,-0.0059,0.0367865798191578,0.0029,0.00816563535901684,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs112324736",0.0111281440306643,0.034706221609912,-0.0199,0.0460590007016031,0.0036,0.0101205042562046,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs112922765",-0.06902504054203,0.0392615338143106,-1e-04,-0.0503372417809703,0.0041,0.0113604326608406,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs11704388",-0.165653796124283,0.0918190937738385,0.0018,-0.124466754977815,0.0084,0.0280891245613827,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs11712192",-0.00286555576950014,0.0343967103736927,-0.0014,-0.0469887520816871,0.0031,0.0106039774384801,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs11951138",0.0356714264680632,0.0573383120876954,-0.0046,-0.0819552400260268,0.0057,0.0181445395428608,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs12283611",0.00345452124798421,0.0277000637918108,-3e-04,0.039144458755582,0.0029,0.00856318073215216,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs12487067",0.0401628089138354,0.0527543186051488,0.0138,0.070646695717677,0.0057,0.0149148130591809,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs13190937",-0.0107184339240689,0.0295741054321194,0.0042,-0.0363502502887648,0.0025,0.00816867095201467,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs16903499",0.0138583538118188,0.0312647320477638,-0.0038,0.0418335328339448,0.0029,0.00919066444784853,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs17354185",0.00018038445988528,0.0329134100634636,-0.002,-0.0483109935553174,0.0031,0.010435691810087,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs17793354",-0.0467661226100096,0.0492581336107288,-0.0048,-0.0626621220589093,0.0043,0.0138800012452113,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs180726314",-0.0855125840685693,0.118484176106924,-0.0089,-0.170566579192874,0.0139,0.0383152431176766,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs2570501",-0.000715880953721056,0.0306944733480249,-1e-04,-0.0464355283042039,0.0028,0.00932185322734153,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs283256",0.00353450259051753,0.0296742684931853,-7e-04,-0.041057891745197,0.0028,0.00890194758702895,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs303753",0.0270651463713578,0.028689584987022,0.0207,-0.0381521300667121,0.0026,0.00824698851637072,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs35449613",-0.0182164251032933,0.0572670985239405,-0.0029,0.0820942606533755,0.006,0.0174942709701334,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs4560653",-0.00127320886557949,0.0315048087002894,-0.0111,-0.0435471834065748,0.0033,0.00985395971469579,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs58941960",0.0208544127633893,0.0398767428482951,-0.0159,0.0568410139815008,0.0041,0.0116998068338859,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs60994383",-0.035032892307216,0.032851117809708,-0.002,-0.0481569476219623,0.0035,0.00954805443874824,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs62032791",-0.000232636463445234,0.0291325236119536,0.0038,0.0377925746856219,0.0031,0.00840937524487929,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs6491653",0.0393740699679964,0.0350158014906659,-0.0083,0.0482539828441425,0.0038,0.0109089833178867,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs7144365",-0.0572444856384474,0.0275252949613527,-1e-04,-0.0381191767613226,0.0025,0.00861283848927035,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
"rs73204557",-0.0393350869109532,0.0455487488047243,-0.0046,-0.0730451877408275,0.0052,0.0163877541495734,"BMI","Insomnia","CKD",5.88989259071084,21.1785033560622
