"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs117127404",0.0608626973076987,0.142026564024571,0.0051,-0.523563068348089,0.01,0.115427,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs12553270",-0.0253215740695649,0.0770477681997862,5e-04,0.242569637139312,0.0048,0.0465059,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs1475549",-0.0461358222461723,0.0760221066964488,-0.0109,-0.249663363467434,0.0055,0.0561647,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs150081707",0.126232193072786,0.0955468617954393,-0.0094,0.26842279751297,0.0069,0.0588301,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs28573814",-0.111195024038201,0.0370422446660677,-0.015,0.116982715485614,0.0025,0.0248692,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs56256111",-0.0387671074680881,0.052304207589365,-0.0083,0.153553358609311,0.0038,0.0344867,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs5771648",-0.0379944861031748,0.0367591562861522,-1e-04,-0.110874579090541,0.0027,0.0250637,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs60365505",0.00463240931514868,0.0736411864918835,-0.0047,0.213949414474266,0.0056,0.0483258,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs73313142",-0.0391850215032893,0.0736241091154307,0.0066,0.218661522010342,0.0057,0.0492748,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs76725568",0.0879374391172645,0.0645892698815053,2e-04,0.213925192504131,0.0049,0.0469983,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
"rs9784526",0.0134496521432077,0.0438907150682356,0.0032,0.124895460071316,0.0028,0.0282546,"BMI","Insomnia","CAD",4.2809222332539,11.9536926179708
