"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs10782429",0.0430086492283352,0.0278363928382784,-0.0015,0.0332342633559019,0.0025,0.0074282084893064,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs1079208",0.0369654316273535,0.0291646094585377,0,0.0390971497049307,0.0025,0.00844997375285751,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs11068847",0.0649612741676281,0.0932106406452789,0,0.124510329234475,0.01,0.0273023648353752,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs1120805",0.0220478842967547,0.0353299746571991,0.0093,-0.0438976790590418,0.0036,0.00987097303763389,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs11251508",-0.0497307638603652,0.0280000975673652,0.0032,-0.0338516257418896,0.0026,0.00763928179582708,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs116931670",-0.00988721864186838,0.051971522823282,0.0066,-0.0814646149991705,0.0056,0.0169262985492726,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs117061470",0.000491223849459501,0.0838579249335354,0.0071,0.113744038458884,0.0089,0.0255535768467762,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs117312222",0.00252038818229499,0.0616580875708971,0.0082,0.0783930433361924,0.0061,0.0156340718289029,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs117315629",-0.126299185731663,0.107562516389813,-0.0108,0.129549537521238,0.0104,0.0285329075296027,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs11759410",0.0420254285839453,0.0589045551967612,-0.0103,-0.0766443667065817,0.0055,0.0165671688925968,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs11883812",-0.00261797993980057,0.048069772872239,4e-04,0.062255553887548,0.0044,0.0129581397107523,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs12215640",-0.00253520069197943,0.0550309287303699,-0.0169,0.0764129362121685,0.0053,0.0166134892546308,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs12658268",0.0217542211662566,0.0332724839142819,0.0055,-0.0436740775368481,0.0031,0.00965277628674206,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs13174131",0.0157279047190039,0.0392461599987005,0.0363,0.0486368569252716,0.0042,0.0108672870909376,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs186360618",-0.00881907195089901,0.0444133635174537,0.0286,0.0615375285108964,0.0131,0.0138162688884436,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs2356864",0.0192928678070925,0.0275261366394202,0.0053,-0.0342724976413257,0.0025,0.00743224995684083,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs2837994",-0.0201152091113372,0.0431356255821005,0.0078,0.0506045240673494,0.0038,0.0113618450585423,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs28855509",-0.0172763810034297,0.0451154973876711,0.0129,0.0406170525916307,0.0035,0.00913061585110678,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs3025653",-0.000830324950832439,0.0638432729612794,0.0064,0.0829786494617093,0.0058,0.0167648621771048,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs34837036",0.0512374256933233,0.0353846425824591,-0.0037,-0.0487228447500127,0.0037,0.0107299768898786,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs429358",-0.0989251903550535,0.0414284971844685,-0.0221,-0.0550943130370641,0.004,0.0106315938243128,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs4688059",-0.0268348586352994,0.0354500268985539,-0.0125,-0.0476039651966861,0.0033,0.0107471865696596,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs59569120",-0.0323818553895829,0.0740435527101935,0.0139,-0.0937572907383886,0.0078,0.0211844879132127,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs62118281",0.0629701867620598,0.0877872503348269,-0.0287,-0.120423309253045,0.0095,0.0271299180064665,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs6461115",-0.0653512015680427,0.0326565024396416,-0.0128,-0.0397948616463312,0.0027,0.00877023107893582,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs67354673",0.0163359607372861,0.0370044915140397,1e-04,0.0490211009187131,0.004,0.0107414349498715,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs71616678",0.00330694905540553,0.0376260414251298,0.0028,0.0472271219836298,0.0038,0.0103864077658422,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs72821628",0.0339780500261047,0.0322392177206105,-0.0059,-0.0419222747982616,0.0033,0.00872098226580144,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs76027431",-0.022825499158307,0.106223961403128,0.0057,0.152585279185804,0.0099,0.0326876066481255,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs79163424",0.0139849398650551,0.0665862259828622,-0.0179,-0.0840882264652915,0.007,0.0189968084785318,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
"rs8084408",0.0127549859541527,0.0329880481458764,-0.0017,-0.0404885322532959,0.0033,0.00899056663211988,"BMI","Sleepiness","CKD",6.23250019743335,12.4607160158912
