"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs117127404",-0.0138705113916516,0.0486018500153013,0.0051,-0.523563068348089,0.01,0.115427,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs12553270",0.0300513410816566,0.0257939799368168,5e-04,0.242569637139312,0.0048,0.0465059,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs1475549",-0.00634653944064507,0.0251606336499461,-0.0109,-0.249663363467434,0.0055,0.0561647,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs150081707",-0.0161197303161866,0.0336004529411318,-0.0094,0.26842279751297,0.0069,0.0588301,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs28573814",-0.0355352978989656,0.0123802119933632,-0.015,0.116982715485614,0.0025,0.0248692,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs56256111",0.00327345882503359,0.0172583803485048,-0.0083,0.153553358609311,0.0038,0.0344867,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs5771648",0.00213235451137768,0.0123619807631087,-1e-04,-0.110874579090541,0.0027,0.0250637,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs60365505",-0.0190491161943583,0.0250014945388404,-0.0047,0.213949414474266,0.0056,0.0483258,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs73313142",-0.0108655825897422,0.0247015586953457,0.0066,0.218661522010342,0.0057,0.0492748,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs76725568",0.00275703780709317,0.0225572044250382,2e-04,0.213925192504131,0.0049,0.0469983,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
"rs9784526",0.0206709266521466,0.0148234565818707,0.0032,0.124895460071316,0.0028,0.0282546,"BMI","Insomnia","HTN",4.2809222332539,11.9536926179708
