"SNP","beta_outcome","se_outcome","beta_exp1","beta_exp2","se_exp1","se_exp2","exp1","exp2","outcome","cond_F_stat_exp1","cond_F_stat_exp2"
"rs11212405",-0.0170933711141416,0.0279532622710409,-0.0059,0.0369103540200972,0.0029,0.00828186,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs11636029",-0.063701481499937,0.0304274652274228,-0.0018,0.0404603291272106,0.0028,0.00900089,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs12283611",0.00345452124798421,0.0277000637918108,-3e-04,0.0392495588910852,0.0029,0.00863027,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs12487067",0.0401628089138354,0.0527543186051488,0.0138,0.0707659652933227,0.0057,0.015704,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs16903499",0.0138583538118188,0.0312647320477638,-0.0038,0.0419765277901568,0.0029,0.00933569,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs17354185",0.00018038445988528,0.0329134100634636,-0.002,-0.0484489223990281,0.0031,0.0105304,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs2165048",-0.0092322493765149,0.0394464640737969,-0.0028,-0.068298112887609,0.0041,0.0132232,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs2570501",-0.000715880953721056,0.0306944733480249,-1e-04,-0.0465414444359166,0.0028,0.0093792,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs283256",0.00353450259051753,0.0296742684931853,-7e-04,-0.0412033172145134,0.0028,0.00924467,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs28884258",-0.0674194040634149,0.039115828858057,5e-04,-0.0506261485577745,0.0041,0.0113816,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs303757",0.0236338613667199,0.0286704039403293,0.0207,-0.038748104850181,0.0026,0.00862066,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs35449613",-0.0182164251032933,0.0572670985239405,-0.0029,0.082372299757861,0.006,0.0180341,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs4780824",0.0144002887621254,0.035535882549216,-0.0196,0.047141186304803,0.0038,0.0105977,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs58941960",0.0208544127633893,0.0398767428482951,-0.0159,0.0566449487059528,0.0041,0.0121871,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs60994383",-0.035032892307216,0.032851117809708,-0.002,-0.0483124782795056,0.0035,0.00968763,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs62032791",-0.000232636463445234,0.0291325236119536,0.0038,0.037931420834556,0.0031,0.008575,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs7290678",-0.163588540126747,0.0958186898868684,0.0029,-0.135455528301143,0.0088,0.0294546,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs73204557",-0.0393350869109532,0.0455487488047243,-0.0046,-0.0732278979941559,0.0052,0.0164761,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
"rs77872709",-0.156479848740273,0.115433509742252,-0.0041,-0.158292578994593,0.0112,0.0357627,"BMI","Insomnia","CKD",6.11083501870104,18.1368863031469
